# tectonic plates pixelation
# data save on: 2023-10-30T16:21:45-03:00
equator	plate	pixel	name	begin	end
360	101	22	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	23	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	41	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
360	101	42	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	43	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	44	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	45	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	46	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	65	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
360	101	66	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
360	101	67	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	68	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	69	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	70	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	71	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	72	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	97	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
360	101	98	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
360	101	99	ALPHA RIDGE, ARCTIC OCEAN, 2500M	121000000	0
360	101	102	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	103	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	104	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	105	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	106	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	142	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	143	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	144	ALPHA RIDGE, ARCTIC OCEAN, 2500M NEW	124000000	0
360	101	501	Slave N	3900000000	0
360	101	583	Slave N	3900000000	0
360	101	584	Slave N	3900000000	0
360	101	670	Slave N	3900000000	0
360	101	671	Slave N	3900000000	0
360	101	672	Slave N	3900000000	0
360	101	673	Slave N	3900000000	0
360	101	674	Slave N	3900000000	0
360	101	765	Slave N	3900000000	0
360	101	766	Slave N	3900000000	0
360	101	767	Slave N	3900000000	0
360	101	768	Slave N	3900000000	0
360	101	769	Slave N	3900000000	0
360	101	770	Slave N	3900000000	0
360	101	771	Slave N	3900000000	0
360	101	772	Slave N	3900000000	0
360	101	773	Slave N	3900000000	0
360	101	774	Rae (Chesterfield)	3500000000	0
360	101	775	Rae (Chesterfield)	3500000000	0
360	101	776	Rae (Chesterfield)	3500000000	0
360	101	864	Slave N	3900000000	0
360	101	865	Slave N	3900000000	0
360	101	866	Slave N	3900000000	0
360	101	867	Slave N	3900000000	0
360	101	868	Slave N	3900000000	0
360	101	869	Slave N	3900000000	0
360	101	870	Slave N	3900000000	0
360	101	871	Slave N	3900000000	0
360	101	872	Slave N	3900000000	0
360	101	873	Slave N	3900000000	0
360	101	874	Rae (Chesterfield)	3500000000	0
360	101	875	Rae (Chesterfield)	3500000000	0
360	101	876	Rae (Chesterfield)	3500000000	0
360	101	970	Slave N	3900000000	0
360	101	971	Slave N	3900000000	0
360	101	972	Slave N	3900000000	0
360	101	973	Slave N	3900000000	0
360	101	974	Slave N	3900000000	0
360	101	975	Slave N	3900000000	0
360	101	976	Slave N	3900000000	0
360	101	977	Slave N	3900000000	0
360	101	978	Slave N	3900000000	0
360	101	979	Slave N	3900000000	0
360	101	980	Slave N	3900000000	0
360	101	981	Rae (Chesterfield)	3500000000	0
360	101	982	Rae (Baffin)	3900000000	0
360	101	1080	Slave N	3900000000	0
360	101	1081	Slave N	3900000000	0
360	101	1082	Slave N	3900000000	0
360	101	1083	Slave N	3900000000	0
360	101	1084	Slave N	3900000000	0
360	101	1085	Slave N	3900000000	0
360	101	1086	Slave N	3900000000	0
360	101	1087	Slave N	3900000000	0
360	101	1088	Slave N	3900000000	0
360	101	1089	Slave N	3900000000	0
360	101	1090	Slave N	3900000000	0
360	101	1091	Slave N	3900000000	0
360	101	1092	Thelon	2100000000	0
360	101	1093	Rae (Chesterfield)	3500000000	0
360	101	1094	Rae (Baffin)	3900000000	0
360	101	1198	Slave N	3900000000	0
360	101	1199	Slave N	3900000000	0
360	101	1200	Slave N	3900000000	0
360	101	1201	Slave N	3900000000	0
360	101	1202	Slave N	3900000000	0
360	101	1203	Slave N	3900000000	0
360	101	1204	Slave N	3900000000	0
360	101	1205	Slave N	3900000000	0
360	101	1206	Slave N	3900000000	0
360	101	1207	Slave N	3900000000	0
360	101	1208	Slave N	3900000000	0
360	101	1209	Slave N	3900000000	0
360	101	1210	Slave N	3900000000	0
360	101	1211	Rae (Chesterfield)	3500000000	0
360	101	1212	Rae (Chesterfield)	3500000000	0
360	101	1213	Rae (Baffin)	3900000000	0
360	101	1214	Rae (Baffin)	3900000000	0
360	101	1215	Rae (Baffin)	3900000000	0
360	101	1216	Rae (Baffin)	3900000000	0
360	101	1321	Slave N	3900000000	0
360	101	1322	Slave N	3900000000	0
360	101	1323	Slave N	3900000000	0
360	101	1324	Slave N	3900000000	0
360	101	1325	Slave N	3900000000	0
360	101	1326	Slave N	3900000000	0
360	101	1327	Slave N	3900000000	0
360	101	1328	Slave N	3900000000	0
360	101	1329	Slave N	3900000000	0
360	101	1330	Slave N	3900000000	0
360	101	1331	Slave E	3900000000	0
360	101	1332	Slave E	3900000000	0
360	101	1333	Slave E	3900000000	0
360	101	1334	Rae (Chesterfield)	3500000000	0
360	101	1335	Rae (Chesterfield)	3500000000	0
360	101	1336	Rae (Chesterfield)	3500000000	0
360	101	1337	Rae (Chesterfield)	3500000000	0
360	101	1338	Rae (Chesterfield)	3500000000	0
360	101	1339	Rae (Baffin)	3900000000	0
360	101	1340	Rae (Baffin)	3900000000	0
360	101	1341	Rae (Baffin)	3900000000	0
360	101	1452	Slave N	3900000000	0
360	101	1453	Hottah	2500000000	0
360	101	1454	Hottah	2500000000	0
360	101	1455	Slave N	3900000000	0
360	101	1456	Slave N	3900000000	0
360	101	1457	Slave N	3900000000	0
360	101	1458	Slave N	3900000000	0
360	101	1459	Slave N	3900000000	0
360	101	1460	Slave N	3900000000	0
360	101	1461	Slave E	3900000000	0
360	101	1462	Slave E	3900000000	0
360	101	1463	Slave E	3900000000	0
360	101	1464	Rae (Chesterfield)	3500000000	0
360	101	1465	Rae (Chesterfield)	3500000000	0
360	101	1466	Rae (Chesterfield)	3500000000	0
360	101	1467	Rae (Chesterfield)	3500000000	0
360	101	1468	Rae (Chesterfield)	3500000000	0
360	101	1469	Rae (Chesterfield)	3500000000	0
360	101	1470	Rae (Baffin)	3900000000	0
360	101	1471	Rae (Chesterfield)	3500000000	0
360	101	1472	Rae (Chesterfield)	3500000000	0
360	101	1587	Nahanni	1800000000	0
360	101	1588	Fort Simpson	2300000000	0
360	101	1589	Hottah	2500000000	0
360	101	1590	Hottah	2500000000	0
360	101	1591	Hottah	2500000000	0
360	101	1592	Hottah	2500000000	0
360	101	1593	Hottah	2500000000	0
360	101	1594	Hottah	2500000000	0
360	101	1595	Slave N	3900000000	0
360	101	1596	Slave N	3900000000	0
360	101	1597	Slave E	3900000000	0
360	101	1598	Slave E	3900000000	0
360	101	1599	Slave E	3900000000	0
360	101	1600	Rae (Chesterfield)	3500000000	0
360	101	1601	Rae (Chesterfield)	3500000000	0
360	101	1602	Rae (Chesterfield)	3500000000	0
360	101	1603	Rae (Chesterfield)	3500000000	0
360	101	1604	Rae (Chesterfield)	3500000000	0
360	101	1605	Rae (Chesterfield)	3500000000	0
360	101	1606	Rae (Chesterfield)	3500000000	0
360	101	1607	Rae (Chesterfield)	3500000000	0
360	101	1608	Rae (Chesterfield)	3500000000	0
360	101	1609	Rae (Chesterfield)	3500000000	0
360	101	1729	Nahanni	1800000000	0
360	101	1730	Nahanni	1800000000	0
360	101	1731	Fort Simpson	2300000000	0
360	101	1732	Fort Simpson	2300000000	0
360	101	1733	Hottah	2500000000	0
360	101	1734	Hottah	2500000000	0
360	101	1735	Hottah	2500000000	0
360	101	1736	Hottah	2500000000	0
360	101	1737	Slave N	3900000000	0
360	101	1738	Slave N	3900000000	0
360	101	1739	Slave E	3900000000	0
360	101	1740	Slave E	3900000000	0
360	101	1741	Slave E	3900000000	0
360	101	1742	Rae (Chesterfield)	3500000000	0
360	101	1743	Rae (Chesterfield)	3500000000	0
360	101	1744	Rae (Chesterfield)	3500000000	0
360	101	1745	Rae (Chesterfield)	3500000000	0
360	101	1746	Rae (Chesterfield)	3500000000	0
360	101	1747	Rae (Chesterfield)	3500000000	0
360	101	1748	Rae (Chesterfield)	3500000000	0
360	101	1749	Rae (Chesterfield)	3500000000	0
360	101	1750	Rae (Chesterfield)	3500000000	0
360	101	1751	Rae (Chesterfield)	3500000000	0
360	101	1876	Nahanni	1800000000	0
360	101	1877	Nahanni	1800000000	0
360	101	1878	Nahanni	1800000000	0
360	101	1879	Nahanni	1800000000	0
360	101	1880	Fort Simpson	2300000000	0
360	101	1881	Hottah	2500000000	0
360	101	1882	Hottah	2500000000	0
360	101	1883	Slave N	3900000000	0
360	101	1884	Slave N	3900000000	0
360	101	1885	Slave E	3900000000	0
360	101	1886	Slave E	3900000000	0
360	101	1887	Slave E	3900000000	0
360	101	1888	Slave E	3900000000	0
360	101	1889	Rae (Chesterfield)	3500000000	0
360	101	1890	Rae (Chesterfield)	3500000000	0
360	101	1891	Rae (Chesterfield)	3500000000	0
360	101	1892	Rae (Chesterfield)	3500000000	0
360	101	1893	Rae (Chesterfield)	3500000000	0
360	101	1894	Rae (Chesterfield)	3500000000	0
360	101	1895	Rae (Chesterfield)	3500000000	0
360	101	1896	Rae (Chesterfield)	3500000000	0
360	101	1897	Rae (Chesterfield)	3500000000	0
360	101	1898	Rae (Chesterfield)	3500000000	0
360	101	1899	Rae (Chesterfield)	3500000000	0
360	101	2031	Nahanni	1800000000	0
360	101	2032	Nahanni	1800000000	0
360	101	2033	Fort Simpson	2300000000	0
360	101	2034	Fort Simpson	2300000000	0
360	101	2035	Hottah	2500000000	0
360	101	2036	Hottah	2500000000	0
360	101	2037	Slave N	3900000000	0
360	101	2038	Slave N	3900000000	0
360	101	2039	Slave E	3900000000	0
360	101	2040	Slave E	3900000000	0
360	101	2041	Slave E	3900000000	0
360	101	2042	Rae (Chesterfield)	3500000000	0
360	101	2043	Rae (Chesterfield)	3500000000	0
360	101	2044	Rae (Chesterfield)	3500000000	0
360	101	2045	Rae (Chesterfield)	3500000000	0
360	101	2046	Rae (Chesterfield)	3500000000	0
360	101	2047	Rae (Chesterfield)	3500000000	0
360	101	2048	Rae (Chesterfield)	3500000000	0
360	101	2049	Rae (Chesterfield)	3500000000	0
360	101	2050	Rae (Chesterfield)	3500000000	0
360	101	2051	Rae (Chesterfield)	3500000000	0
360	101	2052	Rae (Chesterfield)	3500000000	0
360	101	2053	Rae (Chesterfield)	3500000000	0
360	101	2054	Sugluk (North American Plate)	2700000000	0
360	101	2191	Nahanni	1800000000	0
360	101	2192	Fort Simpson	2300000000	0
360	101	2193	Hottah	2500000000	0
360	101	2194	Hottah	2500000000	0
360	101	2195	Slave N	3900000000	0
360	101	2196	Slave N	3900000000	0
360	101	2197	Slave N	3900000000	0
360	101	2198	Slave N	3900000000	0
360	101	2199	Slave E	3900000000	0
360	101	2200	Rae (Chesterfield)	3500000000	0
360	101	2201	Rae (Chesterfield)	3500000000	0
360	101	2202	Rae (Chesterfield)	3500000000	0
360	101	2203	Rae (Chesterfield)	3500000000	0
360	101	2204	Rae (Chesterfield)	3500000000	0
360	101	2205	Rae (Chesterfield)	3500000000	0
360	101	2206	Rae (Chesterfield)	3500000000	0
360	101	2207	Rae (Chesterfield)	3500000000	0
360	101	2208	Rae (Chesterfield)	3500000000	0
360	101	2209	Rae (Chesterfield)	3500000000	0
360	101	2210	Rae (Chesterfield)	3500000000	0
360	101	2211	Rae (Chesterfield)	3500000000	0
360	101	2212	Sugluk (North American Plate)	2700000000	0
360	101	2213	Sugluk (North American Plate)	2700000000	0
360	101	2214	Sugluk (North American Plate)	2700000000	0
360	101	2215	Sugluk (North American Plate)	2700000000	0
360	101	2355	Nahanni	1800000000	0
360	101	2356	Nahanni	1800000000	0
360	101	2357	Hottah	2500000000	0
360	101	2358	Hottah	2500000000	0
360	101	2359	Hottah	2500000000	0
360	101	2360	Hottah	2500000000	0
360	101	2361	Slave N	3900000000	0
360	101	2362	Slave N	3900000000	0
360	101	2363	Slave E	3900000000	0
360	101	2364	Rae (Chesterfield)	3500000000	0
360	101	2365	Rae (Chesterfield)	3500000000	0
360	101	2366	Rae (Chesterfield)	3500000000	0
360	101	2367	Rae (Chesterfield)	3500000000	0
360	101	2368	Rae (Chesterfield)	3500000000	0
360	101	2369	Rae (Chesterfield)	3500000000	0
360	101	2370	Hearne Central	3100000000	0
360	101	2371	Hearne Central	3100000000	0
360	101	2372	Hearne Central	3100000000	0
360	101	2373	Hearne Central	3100000000	0
360	101	2374	Rae (Chesterfield)	3500000000	0
360	101	2375	Rae (Chesterfield)	3500000000	0
360	101	2376	Rae (Chesterfield)	3500000000	0
360	101	2377	Sugluk (North American Plate)	2700000000	0
360	101	2378	Cape Smith	3900000000	0
360	101	2379	Cape Smith	3900000000	0
360	101	2380	Cape Smith	3900000000	0
360	101	2381	New Quebec (North American Plate)	3900000000	0
360	101	2382	New Quebec (North American Plate)	3900000000	0
360	101	2525	Nahanni	1800000000	0
360	101	2526	Fort Simpson	2300000000	0
360	101	2527	Hottah	2500000000	0
360	101	2528	Hottah	2500000000	0
360	101	2529	Slave N	3900000000	0
360	101	2530	Slave N	3900000000	0
360	101	2531	Slave N	3900000000	0
360	101	2532	Rae (Chesterfield)	3500000000	0
360	101	2533	Rae (Chesterfield)	3500000000	0
360	101	2534	Rae (Chesterfield)	3500000000	0
360	101	2535	Rae (Chesterfield)	3500000000	0
360	101	2536	Rae (Chesterfield)	3500000000	0
360	101	2537	Hearne Central	3100000000	0
360	101	2538	Hearne Central	3100000000	0
360	101	2539	Hearne Central	3100000000	0
360	101	2540	Hearne Central	3100000000	0
360	101	2541	Hearne Central	3100000000	0
360	101	2542	Hearne Central	3100000000	0
360	101	2543	Hearne Central	3100000000	0
360	101	2544	Sugluk (Hudson Bay)	3100000000	0
360	101	2545	Rae (Chesterfield)	3500000000	0
360	101	2546	Rae (Chesterfield)	3500000000	0
360	101	2547	Superior (Minnesota River Valley)	3900000000	0
360	101	2548	Cape Smith	3900000000	0
360	101	2549	Cape Smith	3900000000	0
360	101	2550	Cape Smith	3900000000	0
360	101	2551	New Quebec (North American Plate)	3900000000	0
360	101	2552	New Quebec (North American Plate)	3900000000	0
360	101	2553	Churchill (SE) (North American Plate)	2700000000	0
360	101	2554	Torngat (North American Plate)	3900000000	0
360	101	2555	Nain (North American Plate)	3900000000	0
360	101	2556	Nain (North American Plate)	3900000000	0
360	101	2701	Nahanni	1800000000	0
360	101	2702	Nahanni	1800000000	0
360	101	2703	Hottah	2500000000	0
360	101	2704	Hottah	2500000000	0
360	101	2705	Hottah	2500000000	0
360	101	2706	Slave N	3900000000	0
360	101	2707	Buffalo Head	2300000000	0
360	101	2708	Rae (Chesterfield)	3500000000	0
360	101	2709	Rae (Chesterfield)	3500000000	0
360	101	2710	Rae (Chesterfield)	3500000000	0
360	101	2711	Rae (Chesterfield)	3500000000	0
360	101	2712	Rae (Chesterfield)	3500000000	0
360	101	2713	Rae (Chesterfield)	3500000000	0
360	101	2714	Hearne South	3100000000	0
360	101	2715	Hearne South	3100000000	0
360	101	2716	Hearne South	3100000000	0
360	101	2717	Hearne South	3100000000	0
360	101	2718	Hearne South	3100000000	0
360	101	2719	Sugluk (Hudson Bay)	3100000000	0
360	101	2720	Sugluk (Hudson Bay)	3100000000	0
360	101	2721	Sugluk (Hudson Bay)	3100000000	0
360	101	2722	Sugluk (Hudson Bay)	3100000000	0
360	101	2723	Belcher	2000000000	0
360	101	2724	Superior (Minnesota River Valley)	3900000000	0
360	101	2725	Superior (Minnesota River Valley)	3900000000	0
360	101	2726	Superior (Minnesota River Valley)	3900000000	0
360	101	2727	Superior (Minnesota River Valley)	3900000000	0
360	101	2728	Superior (Minnesota River Valley)	3900000000	0
360	101	2729	New Quebec (North American Plate)	3900000000	0
360	101	2730	Churchill (SE) (North American Plate)	2700000000	0
360	101	2731	Torngat (North American Plate)	3900000000	0
360	101	2732	Torngat (North American Plate)	3900000000	0
360	101	2733	Nain (North American Plate)	3900000000	0
360	101	2881	Nahanni	1800000000	0
360	101	2882	Nahanni	1800000000	0
360	101	2883	Fort Simpson	2300000000	0
360	101	2884	Hottah	2500000000	0
360	101	2885	Hottah	2500000000	0
360	101	2886	Buffalo Head	2300000000	0
360	101	2887	Buffalo Head	2300000000	0
360	101	2888	Taltson	2100000000	0
360	101	2889	Rae (Chesterfield)	3500000000	0
360	101	2890	Rae (Chesterfield)	3500000000	0
360	101	2891	Rae (Chesterfield)	3500000000	0
360	101	2892	Rae (Chesterfield)	3500000000	0
360	101	2893	Hearne South	3100000000	0
360	101	2894	Hearne South	3100000000	0
360	101	2895	Hearne South	3100000000	0
360	101	2896	Hearne South	3100000000	0
360	101	2897	Hearne South	3100000000	0
360	101	2898	Hearne South	3100000000	0
360	101	2899	Hearne South	3100000000	0
360	101	2900	Sugluk (Hudson Bay)	3100000000	0
360	101	2901	Sugluk (Hudson Bay)	3100000000	0
360	101	2902	Sugluk (Hudson Bay)	3100000000	0
360	101	2903	Belcher	2000000000	0
360	101	2904	Belcher	2000000000	0
360	101	2905	Superior (Minnesota River Valley)	3900000000	0
360	101	2906	Superior (Minnesota River Valley)	3900000000	0
360	101	2907	Superior (Minnesota River Valley)	3900000000	0
360	101	2908	Superior (Minnesota River Valley)	3900000000	0
360	101	2909	Superior (Minnesota River Valley)	3900000000	0
360	101	2910	New Quebec (North American Plate)	3900000000	0
360	101	2911	New Quebec (North American Plate)	3900000000	0
360	101	2912	Torngat (North American Plate)	3900000000	0
360	101	2913	Torngat (North American Plate)	3900000000	0
360	101	2914	Nain (North American Plate)	3900000000	0
360	101	2915	Nain (North American Plate)	3900000000	0
360	101	3068	Nahanni	1800000000	0
360	101	3069	Fort Simpson	2300000000	0
360	101	3070	Hottah	2500000000	0
360	101	3071	Hottah	2500000000	0
360	101	3072	Buffalo Head	2300000000	0
360	101	3073	Buffalo Head	2300000000	0
360	101	3074	Taltson	2100000000	0
360	101	3075	Taltson	2100000000	0
360	101	3076	Taltson	2100000000	0
360	101	3077	Taltson	2100000000	0
360	101	3078	Rae (Chesterfield)	3500000000	0
360	101	3079	Hearne South	3100000000	0
360	101	3080	Hearne South	3100000000	0
360	101	3081	Hearne South	3100000000	0
360	101	3082	Hearne South	3100000000	0
360	101	3083	Hearne South	3100000000	0
360	101	3084	Hearne South	3100000000	0
360	101	3085	Hearne South	3100000000	0
360	101	3086	Hearne South	3100000000	0
360	101	3087	Sugluk (Hudson Bay)	3100000000	0
360	101	3088	Belcher	2000000000	0
360	101	3089	Belcher	2000000000	0
360	101	3090	Belcher	2000000000	0
360	101	3091	Superior (Minnesota River Valley)	3900000000	0
360	101	3092	Superior (Minnesota River Valley)	3900000000	0
360	101	3093	Superior (Minnesota River Valley)	3900000000	0
360	101	3094	Superior (Minnesota River Valley)	3900000000	0
360	101	3095	Superior (Minnesota River Valley)	3900000000	0
360	101	3096	Superior (Minnesota River Valley)	3900000000	0
360	101	3097	New Quebec (North American Plate)	3900000000	0
360	101	3098	New Quebec (North American Plate)	3900000000	0
360	101	3099	Churchill (SE) (North American Plate)	2700000000	0
360	101	3100	Torngat (North American Plate)	3900000000	0
360	101	3101	Torngat (North American Plate)	3900000000	0
360	101	3102	Nain (North American Plate)	3900000000	0
360	101	3103	Nain (North American Plate)	3900000000	0
360	101	3104	Nain (North American Plate)	3900000000	0
360	101	3260	Fort Simpson	2300000000	0
360	101	3261	Fort Simpson	2300000000	0
360	101	3262	Hottah	2500000000	0
360	101	3263	Buffalo Head	2300000000	0
360	101	3264	Buffalo Head	2300000000	0
360	101	3265	Buffalo Head	2300000000	0
360	101	3266	Taltson	2100000000	0
360	101	3267	Taltson	2100000000	0
360	101	3268	Hearne (covered)	3100000000	0
360	101	3269	Hearne South	3100000000	0
360	101	3270	Hearne South	3100000000	0
360	101	3271	Hearne South	3100000000	0
360	101	3272	Rottenstone	2070000000	0
360	101	3273	Rottenstone	2070000000	0
360	101	3274	Rottenstone	2070000000	0
360	101	3275	La Ronge - Lynn Lake - Rusty Lake	2070000000	0
360	101	3276	La Ronge - Lynn Lake - Rusty Lake	2070000000	0
360	101	3277	Belcher	2000000000	0
360	101	3278	Superior (Minnesota River Valley)	3900000000	0
360	101	3279	Superior (Minnesota River Valley)	3900000000	0
360	101	3280	Belcher	2000000000	0
360	101	3281	Belcher	2000000000	0
360	101	3282	Belcher	2000000000	0
360	101	3283	Superior (Minnesota River Valley)	3900000000	0
360	101	3284	Superior (Minnesota River Valley)	3900000000	0
360	101	3285	Superior (Minnesota River Valley)	3900000000	0
360	101	3286	Superior (Minnesota River Valley)	3900000000	0
360	101	3287	Superior (Minnesota River Valley)	3900000000	0
360	101	3288	Superior (Minnesota River Valley)	3900000000	0
360	101	3289	Superior (Minnesota River Valley)	3900000000	0
360	101	3290	New Quebec (North American Plate)	3900000000	0
360	101	3291	New Quebec (North American Plate)	3900000000	0
360	101	3292	Churchill (SE) (North American Plate)	2700000000	0
360	101	3293	Torngat (North American Plate)	3900000000	0
360	101	3294	Nain (North American Plate)	3900000000	0
360	101	3295	Nain (North American Plate)	3900000000	0
360	101	3296	Nain (North American Plate)	3900000000	0
360	101	3297	Makkovikian	2000000000	0
360	101	3458	Fort Simpson	2300000000	0
360	101	3459	Fort Simpson	2300000000	0
360	101	3460	Chinchaga	2050000000	0
360	101	3461	Buffalo Head	2300000000	0
360	101	3462	Buffalo Head	2300000000	0
360	101	3463	Taltson	2100000000	0
360	101	3464	Taltson	2100000000	0
360	101	3465	Hearne (covered)	3100000000	0
360	101	3466	Hearne (covered)	3100000000	0
360	101	3467	Hearne (covered)	3100000000	0
360	101	3468	Hearne South	3100000000	0
360	101	3469	La Ronge - Lynn Lake - Rusty Lake	2070000000	0
360	101	3470	La Ronge - Lynn Lake - Rusty Lake	2070000000	0
360	101	3471	La Ronge - Lynn Lake - Rusty Lake	2070000000	0
360	101	3472	Superior (Minnesota River Valley)	3900000000	0
360	101	3473	Superior (Minnesota River Valley)	3900000000	0
360	101	3474	Superior (Minnesota River Valley)	3900000000	0
360	101	3475	Superior (Minnesota River Valley)	3900000000	0
360	101	3476	Superior (Minnesota River Valley)	3900000000	0
360	101	3477	Superior (Minnesota River Valley)	3900000000	0
360	101	3478	Superior (Minnesota River Valley)	3900000000	0
360	101	3479	Superior (Minnesota River Valley)	3900000000	0
360	101	3480	Superior (Minnesota River Valley)	3900000000	0
360	101	3481	Superior (Minnesota River Valley)	3900000000	0
360	101	3482	Superior (Minnesota River Valley)	3900000000	0
360	101	3483	Superior (Minnesota River Valley)	3900000000	0
360	101	3484	Superior (Minnesota River Valley)	3900000000	0
360	101	3485	Superior (Minnesota River Valley)	3900000000	0
360	101	3486	Superior (Minnesota River Valley)	3900000000	0
360	101	3487	Superior (Minnesota River Valley)	3900000000	0
360	101	3488	New Quebec (North American Plate)	3900000000	0
360	101	3489	New Quebec (North American Plate)	3900000000	0
360	101	3490	Churchill (SE) (North American Plate)	2700000000	0
360	101	3491	Torngat (North American Plate)	3900000000	0
360	101	3492	Torngat (North American Plate)	3900000000	0
360	101	3493	Nain (North American Plate)	3900000000	0
360	101	3494	Nain (North American Plate)	3900000000	0
360	101	3495	Makkovikian	2000000000	0
360	101	3496	Labradorian	2100000000	0
360	101	3660	Nova	2000000000	0
360	101	3661	Chinchaga	2050000000	0
360	101	3662	Chinchaga	2050000000	0
360	101	3663	Buffalo Head	2300000000	0
360	101	3664	Buffalo Head	2300000000	0
360	101	3665	Hearne (covered)	3100000000	0
360	101	3666	Hearne (covered)	3100000000	0
360	101	3667	Hearne (covered)	3100000000	0
360	101	3668	Hearne (covered)	3100000000	0
360	101	3669	Sask	3900000000	0
360	101	3670	Sask	3900000000	0
360	101	3671	Sask	3900000000	0
360	101	3672	Flin Flon-Glennie (Elbow-Athapapuskow)	2000000000	0
360	101	3673	Superior (Minnesota River Valley)	3900000000	0
360	101	3674	Superior (Minnesota River Valley)	3900000000	0
360	101	3675	Superior (Minnesota River Valley)	3900000000	0
360	101	3676	Superior (Minnesota River Valley)	3900000000	0
360	101	3677	Superior (Minnesota River Valley)	3900000000	0
360	101	3678	Superior (Minnesota River Valley)	3900000000	0
360	101	3679	Superior (Minnesota River Valley)	3900000000	0
360	101	3680	Superior (Minnesota River Valley)	3900000000	0
360	101	3681	Superior (Minnesota River Valley)	3900000000	0
360	101	3682	Superior (Minnesota River Valley)	3900000000	0
360	101	3683	Superior (Minnesota River Valley)	3900000000	0
360	101	3684	Superior (Minnesota River Valley)	3900000000	0
360	101	3685	Superior (Minnesota River Valley)	3900000000	0
360	101	3686	Superior (Minnesota River Valley)	3900000000	0
360	101	3687	Superior (Minnesota River Valley)	3900000000	0
360	101	3688	Superior (Minnesota River Valley)	3900000000	0
360	101	3689	Superior (Minnesota River Valley)	3900000000	0
360	101	3690	Superior (Minnesota River Valley)	3900000000	0
360	101	3691	New Quebec (North American Plate)	3900000000	0
360	101	3692	New Quebec (North American Plate)	3900000000	0
360	101	3693	Torngat (North American Plate)	3900000000	0
360	101	3694	Torngat (North American Plate)	3900000000	0
360	101	3695	Nain (North American Plate)	3900000000	0
360	101	3696	Nain (North American Plate)	3900000000	0
360	101	3697	Labradorian	2100000000	0
360	101	3698	Labradorian	2100000000	0
360	101	3699	Labradorian	2100000000	0
360	101	3868	Chinchaga	2050000000	0
360	101	3869	Chinchaga	2050000000	0
360	101	3870	Chinchaga	2050000000	0
360	101	3871	Buffalo Head	2300000000	0
360	101	3872	Hearne (covered)	3100000000	0
360	101	3873	Hearne (covered)	3100000000	0
360	101	3874	Hearne (covered)	3100000000	0
360	101	3875	Hearne (covered)	3100000000	0
360	101	3876	Sask	3900000000	0
360	101	3877	Sask	3900000000	0
360	101	3878	Sask	3900000000	0
360	101	3879	Flin Flon-Glennie (Elbow-Athapapuskow)	2000000000	0
360	101	3880	Superior (Minnesota River Valley)	3900000000	0
360	101	3881	Superior (Minnesota River Valley)	3900000000	0
360	101	3882	Superior (Minnesota River Valley)	3900000000	0
360	101	3883	Superior (Minnesota River Valley)	3900000000	0
360	101	3884	Superior (Minnesota River Valley)	3900000000	0
360	101	3885	Superior (Minnesota River Valley)	3900000000	0
360	101	3886	Superior (Minnesota River Valley)	3900000000	0
360	101	3887	Superior (Minnesota River Valley)	3900000000	0
360	101	3888	Superior (Minnesota River Valley)	3900000000	0
360	101	3889	Superior (Minnesota River Valley)	3900000000	0
360	101	3890	Superior (Minnesota River Valley)	3900000000	0
360	101	3891	Superior (Minnesota River Valley)	3900000000	0
360	101	3892	Superior (Minnesota River Valley)	3900000000	0
360	101	3893	Superior (Minnesota River Valley)	3900000000	0
360	101	3894	Superior (Minnesota River Valley)	3900000000	0
